web_url,snippet,source,keywords,pub_date,word_count,headline.main,headline.kicker,headline.content_kicker,headline.print_headline,headline.name,headline.seo,headline.sub,byline.original,byline.organization,title,release_date,runtime,genres,spoken_languages,production_countries
https://www.nytimes.com/2023/06/20/movies/sublime-review.html,"A teenager dreams of pop songs, and his best friend, in Mariano Biasin’s tender gay coming-of-age drama.",The New York Times,"subject: Movies;creative_works: Sublime (Movie);persons: Biasin, Mariano;",2023-06-20T17:48:07+0000,266,"‘Sublime’ Review: Two Boys, One in Love",,,Sublime,,,,By Erik Piepenburg,,‘Sublime’ Review,,,nan,nan,nan
https://www.nytimes.com/2018/01/18/movies/kangaroo-a-love-hate-story-review.html,"The documentary looks at the mass killings of kangaroos for pet-food companies, leather processors and ranchers in Australia.",The New York Times,"creative_works: Kangaroo: A Love-Hate Story (Movie);subject: Kangaroos;subject: Animal Abuse, Rights and Welfare;persons: McIntyre Clere, Kate;persons: McIntyre, Mick;subject: Documentary Films and Programs;glocations: Australia;",2018-01-18T12:00:23+0000,263,Review: ‘Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacre,,,Kangaroo: A Love-Hate Story,,,,By Ken Jaworowski,,Review: ‘Kangaroo: A Love-Hate Story’ Exposes a Wildlife Massacre,,,nan,nan,nan
https://www.nytimes.com/1991/10/11/movies/short-order-cookery-and-dreams-of-love.html,"Short-order cookery, dreams of love. Warm and bustling.",The New York Times,subject: MOTION PICTURES;subject: REVIEW;creative_works: Frankie and Johnny (Movie);,1991-10-11T05:00:00+0000,1117,Short-Order Cookery And Dreams of Love,,,Short-Order Cookery And Dreams of Love,,,,By Janet Maslin,,Short-Order Cookery And Dreams of Love,,,nan,nan,nan
https://www.nytimes.com/1989/07/12/movies/review-film-it-s-harry-loves-sally-in-a-romance-of-new-yorkers-and-neuroses.html,Rob Reiner’s take on romantically bruised New Yorkers. Ryan’s fake orgasm is still funny.,The New York Times,subject: Reviews;subject: MOTION PICTURES;creative_works: WHEN HARRY MET SALLY...(MOVIE);,1989-07-12T05:00:00+0000,942,Review/Film; It's Harry  [ Loves ]  Sally in a Romance Of New Yorkers and Neuroses,,,Review/Film; It's Harry  [ Loves ]  Sally in a Romance Of New Yorkers and Neuroses,,,,By Caryn James,,Review/Film; It's Harry  [ Loves ]  Sally in a Romance Of New Yorkers and Neuroses,,,nan,nan,nan
https://www.nytimes.com/2013/09/20/movies/jewtopia-a-comedy-directed-by-bryan-fogel.html,"In “Jewtopia,” a young man asks a childhood friend to help him “act Jewish” so he can romance the girl of his dreams.",The New York Times,"subject: Movies;persons: Sergei, Ivan;creative_works: Jewtopia (Movie);persons: Fogel, Bryan;",2013-09-19T23:33:15+0000,272,Love’s Eternal Masquerade,Movie Review,,Jewtopia,,,,By David DeWitt,,Love’s Eternal Masquerade,,,nan,nan,nan
https://www.nytimes.com/2019/05/21/movies/the-tomorrow-man-review.html,Blythe Danner and John Lithgow strain to elevate this twee late-life romance.,The New York Times,"subject: Movies;creative_works: The Tomorrow Man (Movie);persons: Danner, Blythe;persons: Lithgow, John;persons: Jones, Noble;",2019-05-21T11:00:01+0000,280,‘The Tomorrow Man’ Review: Love Among the Neuroses,,,"They Whirl, They Twirl, They Tango",,,,By Jeannette Catsoulis,,‘The Tomorrow Man’ Review,,,nan,nan,nan
https://www.nytimes.com/1996/01/12/movies/film-review-equal-opportunity-in-games-of-love.html,Housewife pretends to fall for lesbian. Risque comedy.,The New York Times,subject: MOTION PICTURES;subject: Reviews;creative_works: French Twist (Movie);,1996-01-12T05:00:00+0000,943,FILM REVIEW;Equal Opportunity in Games of Love,FILM REVIEW,,FILM REVIEW;Equal Opportunity in Games of Love,,,,By Janet Maslin,,FILM REVIEW;Equal Opportunity in Games of Love,,,nan,nan,nan
https://www.nytimes.com/2019/11/05/movies/marriage-story-review.html,"Adam Driver and Scarlett Johansson self-consciously uncouple in Noah Baumbach’s tender, stinging tale of divorce.",The New York Times,"subject: Movies;persons: Baumbach, Noah;creative_works: Marriage Story (Movie);persons: Driver, Adam;persons: Johansson, Scarlett;persons: ALDA, ALAN;persons: Dern, Laura;persons: Liotta, Ray;",2019-11-05T19:01:02+0000,1244,‘Marriage Story’ Review: Dance Me to the End of Love,critic’s pick,,"Friendly Split, Shattering Break",,,,By A.O. Scott,,‘Marriage Story’ Review,,,nan,nan,nan
https://www.nytimes.com/2022/11/17/movies/bones-and-all-review.html,Luca Guadagnino’s latest stars Timothée Chalamet and Taylor Russell as young cannibals on the run.,The New York Times,"subject: Movies;creative_works: Bones and All (Movie);persons: Guadagnino, Luca;persons: Chalamet, Timothee (1995- );persons: Russell, Taylor (1994- );",2022-11-17T12:00:06+0000,710,‘Bones and All’ Review: You Eat What You Are,,,"It’s Eat, Prey, Love on a Journey of Self-Discovery",,,,By A.O. Scott,,‘Bones and All’ Review,,,nan,nan,nan
https://www.nytimes.com/2019/08/08/movies/love-anthosa-review.html,"Anton Yelchin, who played Chekov in the J.J. Abrams-produced “Star Trek” films, assembled an eclectic filmography before his death at 27 in 2016.",The New York Times,"subject: Documentary Films and Programs;creative_works: Love, Antosha (Movie);persons: Price, Garret;persons: Yelchin, Anton;",2019-08-08T09:00:10+0000,319,"‘Love, Antosha’ Review: A Heartbreaking Look at an Actor’s Too-Short Life",Critic’s Pick,,"Love, Antosha",,,,By Glenn Kenny,,"‘Love, Antosha’ Review",,,nan,nan,nan
